number,value,state,latent_dim,n_conv_blocks,filters_base,kernel_size,learning_rate,n_clusters,umap_n_neighbors,umap_n_components,umap_min_dist,best_val_loss,cluster_counts,davies_bouldin,epochs_run,objective_composite,silhouette,trial_seed,umap_seed
0,0.5286426034735553,TrialState.COMPLETE,128,3,32,7,0.0007928819267579333,5,30,5,0.0,1.0393046438694,"{'0': 38, '1': 27, '2': 22, '3': 13, '4': 22}",1.5308299504463967,20,0.5286426034735553,0.17172689735889435,2042,42
1,0.6431851449861576,TrialState.COMPLETE,64,3,16,11,0.0005600214071818342,3,5,2,0.1,1.0917184948921204,"{'0': 62, '1': 36, '2': 24}",0.8233642605080971,20,0.6431851449861576,0.36758318543434143,2043,42
2,0.655312976065922,TrialState.COMPLETE,32,3,64,11,0.0009252739215114334,4,15,2,0.05,0.9902976155281067,"{'0': 53, '1': 25, '2': 19, '3': 24}",0.8001630520534576,20,0.655312976065922,0.39617544412612915,2044,42
3,0.6602262643505139,TrialState.COMPLETE,16,2,64,11,0.000738697298520338,4,5,2,0.1,1.0913284420967102,"{'0': 45, '1': 25, '2': 32, '3': 19}",0.8621549535488269,20,0.6602262643505139,0.42606455087661743,2045,42
4,0.5653550077733194,TrialState.COMPLETE,16,2,16,3,0.0005202400803575781,6,30,5,0.0,1.259365200996399,"{'0': 25, '1': 22, '2': 25, '3': 20, '4': 14, '5': 15}",1.1888330440045538,20,0.5653550077733194,0.22370192408561707,2046,42
5,0.5699065151082563,TrialState.COMPLETE,128,2,32,11,0.00021982353376090582,4,30,5,0.3,1.2863120436668396,"{'0': 44, '1': 36, '2': 28, '3': 13}",1.1412148981941437,20,0.5699065151082563,0.2279975414276123,2047,42
6,0.7126846270742686,TrialState.COMPLETE,64,1,32,3,0.0025580511878101264,3,10,2,0.0,1.0582973062992096,"{'0': 47, '1': 37, '2': 38}",0.6823495876471565,20,0.7126846270742686,0.5267502665519714,2048,42
7,0.5370666055779307,TrialState.COMPLETE,16,1,16,3,0.0020632514371259052,4,5,5,0.3,1.057945430278778,"{'0': 59, '1': 33, '2': 14, '3': 15}",1.493793802790502,20,0.5370666055779307,0.1907656192779541,2049,42
8,0.5611157032366889,TrialState.COMPLETE,16,2,64,3,0.0028297689984125005,2,15,3,0.0,1.1697987914085388,"{'0': 92, '1': 29}",1.3723975329101668,20,0.5611157032366889,0.2418895661830902,2050,42
9,0.6217260272439875,TrialState.COMPLETE,16,3,32,3,0.00039017385651976907,4,30,2,0.1,1.318096935749054,"{'0': 50, '1': 30, '2': 21, '3': 20}",0.8824091016059955,20,0.6217260272439875,0.3210165202617645,2051,42
10,-999.0,TrialState.COMPLETE,32,3,32,11,0.00016805874510709276,6,15,3,0.0,1.393863022327423,"{'0': 24, '1': 27, '2': 23, '3': 18, '4': 19, '5': 10}",,20,-999.0,,2052,42
11,0.5858991473897199,TrialState.COMPLETE,64,1,64,7,0.00013416477601718612,5,5,5,0.3,1.2177363634109497,"{'0': 43, '1': 26, '2': 28, '3': 15, '4': 9}",1.1844538340297865,20,0.5858991473897199,0.28161442279815674,2053,42
12,0.6972999570292493,TrialState.COMPLETE,64,3,64,7,0.00032891382839460694,4,30,2,0.3,1.0441978573799133,"{'0': 38, '1': 29, '2': 31, '3': 23}",0.6225103338403998,20,0.6972999570292493,0.46400368213653564,2054,42
13,0.5933759853527214,TrialState.COMPLETE,64,1,32,3,0.0015393812932053875,3,10,3,0.05,1.0432218313217163,"{'0': 58, '1': 40, '2': 25}",1.0755858625119397,20,0.5933759853527214,0.2823956608772278,2055,42
14,0.6390335059074931,TrialState.COMPLETE,64,1,32,11,0.0015314977974594643,3,10,2,0.1,1.0773425698280334,"{'0': 60, '1': 45, '2': 16}",0.8351210253972857,18,0.6390335059074931,0.35873299837112427,2056,42
15,0.6579397450314627,TrialState.COMPLETE,64,1,64,11,0.0014958383081653118,3,10,2,0.1,1.121019184589386,"{'0': 64, '1': 38, '2': 19}",0.8497060560698445,20,0.6579397450314627,0.41643375158309937,2057,42
16,0.7346577800604623,TrialState.COMPLETE,64,1,64,11,0.0013127925375592104,3,10,2,0.1,1.1320530772209167,"{'0': 52, '1': 52, '2': 17}",0.5915890641629685,20,0.7346577800604623,0.5604768991470337,2058,42
17,0.6863869053631735,TrialState.COMPLETE,16,2,64,7,0.00028913580270668567,2,10,2,0.1,1.2440485954284668,"{'0': 81, '1': 40}",0.7655852924257595,20,0.6863869053631735,0.47563308477401733,2059,42
18,0.6746353476066631,TrialState.COMPLETE,16,2,64,7,0.0002757758745922526,2,10,2,0.0,1.2532742619514465,"{'0': 73, '1': 48}",0.8380412911848808,20,0.6746353476066631,0.46119463443756104,2060,42
19,0.6735801789003067,TrialState.COMPLETE,64,1,64,7,0.002750365622959465,3,10,2,0.0,1.1601975560188293,"{'0': 48, '1': 32, '2': 41}",0.7658351991159004,20,0.6735801789003067,0.4391111433506012,2061,42
20,0.5249634039989597,TrialState.COMPLETE,64,1,32,3,0.002734552907435018,3,10,2,0.0,1.0968955755233765,"{'0': 73, '1': 32, '2': 18}",1.6961783142534899,20,0.5249634039989597,0.18198513984680176,2062,42
21,0.708513728436492,TrialState.COMPLETE,64,1,32,3,0.002976050383047211,3,10,2,0.0,1.1010855436325073,"{'0': 64, '1': 33, '2': 24}",0.6493596183261028,20,0.708513728436492,0.5046427249908447,2063,42
22,0.6494997630534995,TrialState.COMPLETE,64,1,32,3,0.0010727668204392104,3,10,2,0.05,1.0914273262023926,"{'0': 56, '1': 46, '2': 21}",0.8346255052462429,20,0.6494997630534995,0.38851043581962585,2064,42
23,0.5961655497805916,TrialState.COMPLETE,64,1,64,7,0.001150482704496851,3,30,2,0.3,1.1911096572875977,"{'0': 57, '1': 42, '2': 23}",1.1462030454519467,20,0.5961655497805916,0.30395373702049255,2065,42
24,0.6314599473827984,TrialState.COMPLETE,64,1,64,7,0.001116043274435065,3,30,2,0.3,1.0908400416374207,"{'0': 52, '1': 35, '2': 35}",0.9530957791380233,20,0.6314599473827984,0.3653075695037842,2066,42
25,0.6561854900624665,TrialState.COMPLETE,64,1,32,3,0.001145235439273929,3,10,2,0.0,1.02773717045784,"{'0': 55, '1': 37, '2': 29}",0.8568160731699127,20,0.6561854900624665,0.41319599747657776,2067,42
26,0.6814658121562549,TrialState.COMPLETE,64,1,32,3,0.0017127158036919098,3,10,2,0.0,1.0667195916175842,"{'0': 40, '1': 50, '2': 31}",0.7752952113945168,20,0.6814658121562549,0.464228093624115,2068,42
27,0.6469395505116076,TrialState.COMPLETE,128,1,32,3,0.002033784410651915,3,10,3,0.0,1.088118076324463,"{'0': 49, '1': 46, '2': 28}",0.8796047785487741,19,0.6469395505116076,0.39237579703330994,2069,42
28,0.6173037088756752,TrialState.COMPLETE,128,1,32,3,0.0020122767287131106,3,10,3,0.0,1.0197516679763794,"{'0': 61, '1': 36, '2': 26}",1.102657074766998,20,0.6173037088756752,0.3560774028301239,2070,42
29,0.5834861000034475,TrialState.COMPLETE,32,1,32,3,0.0019214170886688185,3,10,3,0.0,1.0858569741249084,"{'0': 62, '1': 46, '2': 13}",1.1239206276497165,20,0.5834861000034475,0.26353681087493896,2071,42
30,0.5520220710862935,TrialState.COMPLETE,32,1,16,3,0.0021748010328887387,5,10,3,0.0,1.0741533637046814,"{'0': 35, '1': 26, '2': 35, '3': 14, '4': 11}",1.2124872324114508,20,0.5520220710862935,0.18979448080062866,2072,42
31,0.6101817758714074,TrialState.COMPLETE,128,1,32,3,0.0021892475571621936,6,10,3,0.1,1.0646535158157349,"{'0': 28, '1': 28, '2': 18, '3': 18, '4': 17, '5': 12}",1.014614943994366,19,0.6101817758714074,0.31791412830352783,2073,42
32,-999.0,TrialState.COMPLETE,128,1,32,11,0.0024061152138927884,6,10,2,0.1,1.081028163433075,"{'0': 32, '1': 24, '2': 23, '3': 19, '4': 11, '5': 12}",,19,-999.0,,2074,42
33,0.7538119189879637,TrialState.COMPLETE,128,1,32,11,0.0023943041853720106,6,10,2,0.1,1.0296318531036377,"{'0': 30, '1': 22, '2': 19, '3': 17, '4': 22, '5': 12}",0.5518449448592243,18,0.7538119189879637,0.6014103889465332,2075,42
