number,value,state,latent_dim,n_conv_blocks,filters_base,kernel_size,learning_rate,n_clusters,umap_n_neighbors,umap_n_components,umap_min_dist,best_val_loss,cluster_counts,davies_bouldin,epochs_run,objective_composite,silhouette,trial_seed,umap_seed
0,0.4179356176786755,TrialState.COMPLETE,16,1,16,3,0.00027224042566020753,5,30,5,0.05,1.3511279821395874,"{'0': 17, '1': 30, '2': 25, '3': 33, '4': 16}",2.678917844178899,20,0.4179356176786755,-0.03888600319623947,1042,42
1,0.4978156684092662,TrialState.COMPLETE,64,1,64,11,0.001805825575236885,2,30,5,0.3,1.11778724193573,"{'0': 39, '1': 82}",1.8448613175382187,20,0.4978156684092662,0.12103535234928131,1043,42
2,0.5677341096041293,TrialState.COMPLETE,128,3,16,7,0.00038076214511541067,2,30,3,0.0,1.1712643504142761,"{'0': 69, '1': 53}",1.35588510640505,20,0.5677341096041293,0.25826695561408997,1044,42
3,0.5816097305739661,TrialState.COMPLETE,64,2,32,3,0.0007869640635017009,5,15,2,0.3,1.059539943933487,"{'0': 35, '1': 28, '2': 26, '3': 18, '4': 15}",1.2421365834334859,20,0.5816097305739661,0.27945366501808167,1045,42
4,0.5945490876777543,TrialState.COMPLETE,64,2,32,3,0.0003724528713510128,2,5,3,0.05,1.2192543745040894,"{'0': 37, '1': 86}",1.1183756601145582,20,0.5945490876777543,0.2940889894962311,1046,42
5,0.4907133302692629,TrialState.COMPLETE,32,3,32,11,0.00047330048042725723,5,30,5,0.0,1.1530478596687317,"{'0': 28, '1': 18, '2': 20, '3': 25, '4': 30}",2.034580482759223,20,0.4907133302692629,0.11957965046167374,1047,42
6,0.4718264017809114,TrialState.COMPLETE,16,2,16,7,0.0029277399116875292,2,30,5,0.0,1.057002604007721,"{'0': 90, '1': 32}",1.568845265736899,20,0.4718264017809114,0.014406890608370304,1048,42
7,-999.0,TrialState.COMPLETE,16,2,32,3,0.0018924655588457543,4,30,2,0.05,1.0531663298606873,"{'0': 27, '1': 39, '2': 28, '3': 27}",,20,-999.0,,1049,42
8,0.4809387106932388,TrialState.COMPLETE,16,3,64,7,0.0006374289867191341,5,15,3,0.1,1.080761730670929,"{'0': 28, '1': 15, '2': 21, '3': 30, '4': 28}",2.49266910488684,20,0.4809387106932388,0.12869861721992493,1050,42
9,-999.0,TrialState.COMPLETE,16,3,32,7,0.0016133168287520909,6,10,5,0.3,1.0679696798324585,"{'0': 19, '1': 25, '2': 24, '3': 15, '4': 19, '5': 20}",,20,-999.0,,1051,42
