number,value,state,latent_dim,n_conv_blocks,filters_base,kernel_size,learning_rate,n_clusters,umap_n_neighbors,umap_n_components,umap_min_dist,best_val_loss,cluster_counts,davies_bouldin,epochs_run,objective_composite,silhouette,trial_seed,umap_seed
0,0.6294337709088755,TrialState.COMPLETE,32,2,32,11,0.00010337943591400774,5,10,5,0.3,1.3689420223236084,"{'0': 21, '1': 27, '2': 34, '3': 18, '4': 21}",0.9225087922514812,20,0.6294337709088755,0.3525362014770508,42,42
1,0.6429058972272959,TrialState.COMPLETE,32,3,64,11,0.0006007401300437977,2,30,3,0.0,1.0465771555900574,"{'0': 68, '1': 54}",0.9858438546215966,20,0.6429058972272959,0.4052474796772003,43,42
2,0.6255085050233525,TrialState.COMPLETE,128,1,64,3,0.002675259399369695,4,10,2,0.0,1.1530093550682068,"{'0': 27, '1': 21, '2': 40, '3': 33}",0.9126243906730005,20,0.6255085050233525,0.33901703357696533,44,42
3,0.6777711631983572,TrialState.COMPLETE,128,1,64,3,0.00040783525629133624,4,15,2,0.05,1.0820626616477966,"{'0': 32, '1': 32, '2': 36, '3': 21}",0.6407755040124122,20,0.6777711631983572,0.4140879809856415,45,42
4,0.5566427940733449,TrialState.COMPLETE,32,2,32,11,0.0006074460643635285,6,15,3,0.1,1.010114997625351,"{'0': 17, '1': 19, '2': 22, '3': 24, '4': 20, '5': 20}",1.2392344053911701,20,0.5566427940733449,0.20762409269809723,46,42
5,0.6186805730081842,TrialState.COMPLETE,64,1,64,7,0.0024048647146361285,5,30,2,0.1,1.2325053811073303,"{'0': 19, '1': 27, '2': 30, '3': 23, '4': 23}",0.7060769495792563,20,0.6186805730081842,0.2652530372142792,47,42
6,-999.0,TrialState.COMPLETE,32,1,32,7,0.0001908612794181156,6,15,3,0.1,1.2877129912376404,"{'0': 17, '1': 15, '2': 35, '3': 16, '4': 16, '5': 22}",,20,-999.0,,48,42
7,0.5565387610509192,TrialState.COMPLETE,16,3,32,7,0.0025669961116280456,6,15,5,0.3,1.057397723197937,"{'0': 21, '1': 15, '2': 21, '3': 20, '4': 26, '5': 18}",1.2522872145444872,20,0.5565387610509192,0.20954522490501404,49,42
8,0.5098669795892764,TrialState.COMPLETE,16,1,32,7,0.0011446678300652243,6,10,5,0.1,1.1113828420639038,"{'0': 15, '1': 28, '2': 21, '3': 26, '4': 22, '5': 10}",1.387875870762209,20,0.5098669795892764,0.09780659526586533,50,42
9,0.679195320649806,TrialState.COMPLETE,128,1,32,11,0.00036302195150335293,2,30,2,0.1,1.115167260169983,"{'0': 66, '1': 55}",0.8692517372306104,20,0.679195320649806,0.4820094108581543,51,42
